xStart;yStart;xEnde;yEnde;Zeit
Bewegung bei y=0
0;390;150;390;0.269884824753
0;390;160;390;0.278120994568
0;390;170;390;0.286143064499
0;390;180;390;0.294103860855
0;390;190;390;0.305958986282
0;390;200;390;0.309868812561
0;390;210;390;0.321882009506
0;390;220;390;0.327007055283
0;390;230;390;0.342880010605
0;390;240;390;0.345767974854
0;390;250;390;0.358882904053
0;390;260;390;0.370867013931


Bewegung bei y=420
0;420;0;420;0.0568120479584
0;420;10;420;0.152409076691
0;420;20;420;0.160907030106
0;420;30;420;0.168802976608
0;420;40;420;0.185911178589
0;420;50;420;0.197872161865
0;420;60;420;0.197907924652
0;420;70;420;0.208801984787
0;420;80;420;0.218024969101
0;420;90;420;0.221893072128
0;420;100;420;0.230088949203
0;420;110;420;0.242090940475
0;420;120;420;0.241096973419
0;420;130;420;0.254101991653
0;420;140;420;0.262194156647
0;420;150;420;0.273886919022
0;420;160;420;0.27787899971
0;420;170;420;0.286870956421
0;420;180;420;0.297872066498
0;420;190;420;0.305894136429
0;420;200;420;0.309727907181
0;420;210;420;0.321762084961
0;420;220;420;0.333713054657
0;420;230;420;0.343023061752
0;420;240;420;0.346889972687
0;420;250;420;0.358872175217
0;420;260;420;0.370975971222


Bewegung bei y=450
0;450;0;450;0.0524280071259
0;450;10;450;0.148699045181
0;450;20;450;0.160923957825
0;450;30;450;0.16991686821
0;450;40;450;0.185032129288
0;450;50;450;0.196971893311
0;450;60;450;0.198059797287
0;450;70;450;0.206057071686
0;450;80;450;0.21809887886
0;450;90;450;0.217933177948
0;450;100;450;0.230041027069
0;450;110;450;0.237946987152
0;450;120;450;0.245870113373
0;450;130;450;0.249893903732
0;450;140;450;0.257895946503
0;450;150;450;0.269793987274
0;450;160;450;0.277755022049
0;450;170;450;0.285938024521
0;450;180;450;0.293746948242
0;450;190;450;0.307002067566
0;450;200;450;0.309844017029
0;450;210;450;0.322983026505
0;450;220;450;0.334882974625
0;450;230;450;0.342871904373
0;450;240;450;0.346946001053
0;450;250;450;0.358880996704
0;450;260;450;0.371046066284


Bewegung bei y=480
0;480;0;480;0.0524270534515
0;480;10;480;0.149061918259
0;480;20;480;0.162185907364
0;480;30;480;0.169106006622
0;480;40;480;0.181048870087
0;480;50;480;0.192933082581
0;480;60;480;0.196902990341
0;480;70;480;0.206032037735
0;480;80;480;0.213896036148
0;480;90;480;0.216796159744
0;480;100;480;0.229903936386
0;480;110;480;0.238018035889
0;480;120;480;0.241894006729
0;480;130;480;0.249856948853
0;480;140;480;0.257912874222
0;480;150;480;0.267022132874
0;480;160;480;0.277864933014
0;480;170;480;0.285897016525
0;480;180;480;0.297869920731
0;480;190;480;0.298874139786
0;480;200;480;0.311003923416
0;480;210;480;0.322870969772
0;480;220;480;0.334864854813
0;480;230;480;0.343168020248
0;480;240;480;0.34730219841
0;480;250;480;0.359140872955
0;480;260;480;0.37087893486


Bewegung bei y=510
0;510;0;510;0.0573570728302
0;510;10;510;0.14875292778
0;510;20;510;0.156940221786
0;510;30;510;0.166033029556
0;510;40;510;0.180932998657
0;510;50;510;0.192883014679
0;510;60;510;0.200897932053
0;510;70;510;0.209986925125
0;510;80;510;0.213911056519
0;510;90;510;0.220668077469
0;510;100;510;0.249973058701
0;510;110;510;0.237833023071
